"","occurrence","incidents","assault_count","robbery_count","precip","mean_temp","cool_deg_days","heat_deg_days","max_temp","min_temp","morn_inc","aft_inc","eve_inc","nuit_inc","incients"
"1",2014-01-01,171,168,3,0,-11.4555555555556,0,5036.9,-8.37777777777778,-14.4333333333333,11,16,18,20,65
"2",2014-01-02,28,24,4,1.92857142857143,-16.7821428571429,0,973.9,-14.2821428571429,-19.1857142857143,3,4,5,16,28
"3",2014-01-03,28,26,2,0.15,-14.575,0,912.1,-6.975,-22.175,7,8,8,5,28
"4",2014-01-04,43,40,3,0,-3.46511627906977,0,923,0.311627906976744,-7.15348837209302,13,4,12,14,43
"5",2014-01-05,56,48,8,11.4571428571429,-0.285714285714286,0,1024,1.37142857142857,-1.84285714285714,18,9,17,12,56
"6",2014-01-06,40,29,11,6.43,-6.685,0,987.4,2.425,-15.79,7,5,16,12,40
"7",2014-01-07,57,45,12,0.371929824561404,-18.9508771929825,0,2106.2,-15.7298245614035,-22.1649122807018,3,9,24,21,57
"8",2014-01-08,66,51,15,0,-11.9939393939394,0,1979.6,-7.7,-16.1878787878788,2,11,18,13,44
"9",2014-01-09,39,33,6,0,-7.41025641025641,0,991,-2.92820512820513,-11.7923076923077,5,10,16,8,39
"10",2014-01-10,45,32,13,2.14222222222222,-0.113333333333333,0,815.1,3.86888888888889,-4.17777777777778,4,9,11,21,45
"11",2014-01-11,53,46,7,9.68490566037736,4.84528301886792,0,697.2,6.94339622641509,2.73018867924528,22,4,15,12,53
"12",2014-01-12,52,43,9,0,2.30384615384615,0,816.2,3.26538461538462,1.26153846153846,18,4,7,23,52
"13",2014-01-13,41,34,7,0,4.56829268292683,0,550.7,7.20243902439024,1.84146341463415,3,13,12,13,41
"14",2014-01-14,49,38,11,0,3.22857142857143,0,723.8,5.19795918367347,1.24897959183673,9,12,16,12,49
"15",2014-01-15,46,39,7,0,-0.626086956521739,0,856.8,2.37391304347826,-3.53913043478261,7,8,17,14,46
"16",2014-01-16,44,35,9,0,-1.99090909090909,0,879.6,-0.390909090909091,-3.59090909090909,7,7,11,19,44
"17",2014-01-17,51,39,12,1.07058823529412,0.564705882352941,0,889.2,2.21176470588235,-1.16470588235294,8,7,17,19,51
"18",2014-01-18,68,63,5,0.426470588235294,-3.9,0,1489.2,-0.829411764705882,-6.88529411764706,23,8,17,20,68
"19",2014-01-19,45,38,7,0.88,-5.24,0,1045.8,-1.9,-8.52,18,2,12,13,45
"20",2014-01-20,44,35,9,0.772727272727273,-9.10909090909091,0,1192.8,-1.75454545454545,-16.3636363636364,10,6,11,17,44
"21",2014-01-21,38,27,11,0.407894736842105,-16.9263157894737,0,1327.2,-14.2736842105263,-19.5789473684211,5,7,14,12,38
"22",2014-01-22,36,27,9,0,-16.2555555555556,0,1233.2,-12.0666666666667,-20.4333333333333,4,9,18,5,36
"23",2014-01-23,35,34,1,0,-14.7885714285714,0,1147.6,-12.1885714285714,-17.3885714285714,4,9,17,5,35
"24",2014-01-24,40,33,7,0,-12.165,0,1206.6,-6.62,-17.6325,15,3,13,9,40
"25",2014-01-25,41,33,8,1.36585365853659,-8.24146341463415,0,1075.9,-2.71219512195122,-13.7707317073171,9,8,5,19,41
"26",2014-01-26,48,38,10,0.985416666666667,-9.12708333333333,0,1302.1,-3.71666666666667,-14.5270833333333,8,7,15,18,48
"27",2014-01-27,39,28,11,2.65641025641026,-9.86923076923077,0,1086.9,-3.66923076923077,-15.9692307692308,2,5,15,17,39
"28",2014-01-28,45,36,9,0.186666666666667,-15.06,0,1487.7,-11.5733333333333,-18.54,8,8,11,18,45
"29",2014-01-29,25,19,6,0,-12.78,0,769.5,-9.152,-16.308,4,1,11,9,25
"30",2014-01-30,54,43,11,0,-5.48333333333333,0,1268.1,-0.4,-10.5666666666667,14,7,17,16,54
"31",2014-01-31,68,51,17,0,-0.570588235294118,0,1262.8,1.45294117647059,-2.58235294117647,15,10,20,23,68
"32",2014-02-01,72,68,4,14.0625,0.075,0,1290.6,1.3625,-1.3,11,4,19,15,49
"33",2014-02-02,57,49,8,0.510526315789474,-2.6,0,1174.2,0.9,-6.07894736842105,23,7,11,16,57
"34",2014-02-03,56,50,6,0.157142857142857,-6.25,0,1358,-2.63571428571429,-9.76428571428571,5,9,19,23,56
"35",2014-02-04,51,44,7,0.758823529411765,-7.1843137254902,0,1284.4,-3.86862745098039,-10.4843137254902,6,14,25,6,51
"36",2014-02-05,45,32,13,9.68888888888889,-8.47777777777778,0,1191.5,-5.17777777777778,-11.6888888888889,2,5,22,16,45
"37",2014-02-06,41,35,6,0.439024390243902,-9.9,0,1143.9,-6.4390243902439,-13.2731707317073,3,7,12,19,41
"38",2014-02-07,44,37,7,0,-11.1545454545455,0,1282.8,-8.47272727272727,-13.8363636363636,7,7,15,15,44
"39",2014-02-08,45,34,11,0,-11.3777777777778,0,1322,-8.61111111111111,-14.1333333333333,12,3,11,19,45
"40",2014-02-09,47,37,10,1.60851063829787,-9.76382978723404,0,1304.9,-7.21063829787234,-12.2170212765957,18,5,7,17,47
"41",2014-02-10,53,43,10,0.277358490566038,-8.9,0,1425.7,-5.72264150943396,-11.977358490566,4,13,25,11,53
"42",2014-02-11,59,37,22,0,-11.235593220339,0,1724.9,-8.81016949152542,-13.6559322033898,4,12,29,14,59
"43",2014-02-12,39,25,14,0,-9.77179487179487,0,1083.1,-5.28205128205128,-14.1615384615385,5,8,14,12,39
"44",2014-02-13,71,56,15,0,-5.5169014084507,0,1669.7,-1.6887323943662,-9.34507042253521,13,16,17,25,71
"45",2014-02-14,59,47,12,0,-1.93050847457627,0,1175.9,0.638983050847458,-4.4,8,8,17,26,59
"46",2014-02-15,66,52,14,0,-7.21363636363636,0,1664.1,-2.48181818181818,-11.8590909090909,30,9,10,17,66
"47",2014-02-16,49,42,7,0,-9.83877551020408,0,1364.1,-6.93061224489796,-12.6469387755102,22,7,7,13,49
"48",2014-02-17,30,25,5,0.373333333333333,-8.18,0,785.4,-2.19333333333333,-14.16,10,3,10,7,30
"49",2014-02-18,50,40,10,5.358,-1.806,0,990.3,0.664,-4.182,3,11,18,18,50
"50",2014-02-19,62,50,12,0.324193548387097,2.90645161290323,0,935.8,7.51774193548387,-1.70483870967742,5,14,25,18,62
"51",2014-02-20,45,36,9,13.3733333333333,0.715555555555556,0,777.8,2.55555555555556,-1.12,11,3,16,15,45
"52",2014-02-21,44,32,12,8.71136363636364,2.87727272727273,0,665.4,4.99772727272727,0.745454545454545,5,4,19,16,44
"53",2014-02-22,50,35,15,0,1.86,0,807,4.08,-0.44,20,6,12,12,50
"54",2014-02-23,70,61,9,0,-1.76428571428571,0,1383.5,1.18571428571429,-4.63571428571429,21,7,26,16,70
"55",2014-02-24,46,38,8,0,-6.5695652173913,0,1130.2,-4.3,-8.73913043478261,5,5,27,9,46
"56",2014-02-25,49,42,7,0,-7.78367346938775,0,1263.4,-5.2,-10.3591836734694,3,10,26,10,49
"57",2014-02-26,43,36,7,0,-11.1348837209302,0,1252.8,-8.10697674418605,-14.153488372093,4,8,13,18,43
"58",2014-02-27,40,37,3,0.255,-12.11,0,1204.4,-8.18,-15.94,6,9,14,11,40
"59",2014-02-28,54,42,12,0,-12.2444444444444,0,1633.2,-6.88148148148148,-17.6074074074074,14,6,19,15,54
"60",2014-03-01,74,67,7,2.8972972972973,-5.53783783783784,0,1741.8,-0.785135135135135,-10.1905405405405,23,7,20,24,74
"61",2014-03-02,56,50,6,1.20535714285714,-12,0,1680,-8.53928571428571,-15.4607142857143,22,5,13,16,56
"62",2014-03-03,66,43,23,0.187878787878788,-14.6818181818182,0,2157,-10.9,-18.369696969697,10,13,27,16,66
"63",2014-03-04,40,29,11,0.585,-11.895,0,1195.8,-8.105,-15.5875,6,6,15,13,40
"64",2014-03-05,50,33,17,0.168,-7.616,0,1280.8,-4.716,-10.5,7,9,21,13,50
"65",2014-03-06,57,36,21,0,-5.75087719298246,0,1353.8,-2.9,-8.50175438596491,4,6,24,23,57
"66",2014-03-07,47,37,10,0.25531914893617,-1.34255319148936,0,909.1,2.73617021276596,-5.4063829787234,7,3,15,22,47
"67",2014-03-08,55,41,14,0,-1.7,0,1083.5,2.77454545454545,-6.17454545454545,16,5,18,16,55
"68",2014-03-09,56,49,7,0,-3.875,0,1225,1.375,-9.1125,21,9,12,14,56
"69",2014-03-10,53,47,6,0,3.94150943396226,0,745.1,6.63962264150943,1.15471698113208,4,7,23,19,53
"70",2014-03-11,43,35,8,0,6.92558139534884,0,476.2,10.1604651162791,3.5906976744186,12,6,11,14,43
"71",2014-03-12,38,26,12,10.3263157894737,-4.58684210526316,0,858.3,4.86052631578947,-13.9473684210526,6,1,16,15,38
